,name,appid,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1782,callofduty,2620.0,2006-10-13,1.0,Infinity Ward,Activision,windows,0.0,Single-player;Multi-player,Action,FPS;World War II;Action,0.0,1555.0,117.0,545.0,849.0,200000-500000,14.99
1783,thirtyflightsofloving,214700.0,2012-08-20,1.0,Blendo Games,Blendo Games,windows;mac,0.0,Single-player;Commentary available,Adventure;Casual;Indie,Short;Indie;Adventure,0.0,934.0,616.0,0.0,0.0,100000-200000,3.99
1784,dungeonparty,215870.0,2013-03-13,1.0,Cyanide Studio,Bigben Interactive,windows,0.0,Multi-player,Free to Play;Massively Multiplayer,Free to Play;Massively Multiplayer;Multiplayer,20.0,154.0,231.0,1.0,1.0,200000-500000,0.0
1786,passingpineviewforest,331120.0,2014-11-21,1.0,VIS-Games,United Independent Entertainment GmbH,windows,0.0,Single-player;VR Support,Action;Adventure;Indie,Horror;Free to Play;Adventure,0.0,1100.0,530.0,1.0,1.0,200000-500000,0.0
1787,theforgottenones,314280.0,2014-07-17,1.0,Bernt Andreas Eide,Bernt Andreas Eide,windows;mac;linux,0.0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK,Action;Adventure;Free to Play;Indie,Horror;Free to Play;Adventure,12.0,903.0,601.0,24.0,24.0,500000-1000000,0.0
1788,velvetsundown,307290.0,2014-07-22,1.0,Tribe Studios,Tribe Studios,windows;mac,18.0,Multi-player;Co-op,Adventure;Casual;Free to Play;Indie;RPG,Free to Play;Multiplayer;RPG,0.0,1149.0,774.0,41.0,53.0,500000-1000000,0.0
1789,cubiccastles,317470.0,2014-08-13,1.0,Cosmic Cow LLC,Cosmic Cow LLC,windows,0.0,MMO,Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer,Free to Play;Building;Multiplayer,0.0,2981.0,1176.0,93.0,161.0,500000-1000000,0.0
1790,redcruciblefirestorm,298240.0,2015-12-22,1.0,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",windows;mac,0.0,Multi-player;Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases;Partial Controller Support,Action;Casual;Free to Play;Indie;Simulation,Shooter;Free to Play;FPS,0.0,4795.0,3264.0,232.0,47.0,2000000-5000000,0.0
1794,protogalaxy,60600.0,2010-10-06,1.0,Source Studio Ltd.,Source Studio Ltd.,windows,0.0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action;Indie,Action;Indie;Co-op,33.0,30.0,22.0,33.0,33.0,50000-100000,0.0
1795,morphopolis,314020.0,2014-08-14,1.0,Dan  Walters;Ceri Williams,Dan  Walters,windows,0.0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Puzzle;Hidden Object;Casual,13.0,3846.0,749.0,219.0,180.0,200000-500000,2.89
1797,crystalsoftime,306410.0,2014-06-13,1.0,RVL Games;exosyphen studios,exosyphen studios,windows,0.0,Single-player;Steam Trading Cards,Casual;Indie,Casual;Hidden Object;Indie,0.0,604.0,333.0,231.0,229.0,200000-500000,0.79
1798,amongripples,341720.0,2015-01-22,1.0,Eat Create Sleep,Eat Create Sleep,windows;mac;linux,0.0,Single-player,Casual;Free to Play;Indie;Simulation,Free to Play;Casual;Simulation,0.0,911.0,393.0,6.0,7.0,200000-500000,0.0
1799,ibomberdefensepacific,206690.0,2012-03-01,1.0,Cobra Mobile,Cobra Mobile,windows;mac;linux,0.0,Single-player,Casual;Indie;Strategy,Tower Defense;Strategy;Casual,25.0,421.0,84.0,82.0,108.0,200000-500000,2.99
1802,depth,274940.0,2014-11-03,1.0,Digital Confectioners,Digital Confectioners,windows,0.0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor,Action;Indie,Action;Multiplayer;Gore,40.0,22385.0,3472.0,791.0,486.0,1000000-2000000,14.99
1806,poxnora,201210.0,2014-10-15,1.0,Desert Owl Games LLC,Desert Owl Games LLC,windows;mac,0.0,Single-player;Multi-player;Steam Trading Cards,Free to Play;RPG;Strategy,Free to Play;Strategy;RPG,0.0,384.0,148.0,2.0,2.0,200000-500000,0.0
1808,airlinetycoon2,201490.0,2011-10-24,1.0,b-Alive,Kalypso Media Digital,windows,0.0,Single-player,Simulation;Strategy,Simulation;Strategy;Economy,0.0,61.0,386.0,0.0,0.0,50000-100000,6.99
1809,alienrageunlimited,217920.0,2013-09-24,1.0,CI Games,CI Games,windows,0.0,Single-player;Multi-player;Steam Achievements;Steam Leaderboards,Action,Action;FPS;Sci-fi,49.0,1657.0,722.0,317.0,355.0,200000-500000,14.99
1810,armatactics,224860.0,2013-10-01,1.0,Bohemia Interactive,Bohemia Interactive,windows;mac;linux,0.0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;Strategy,Strategy;Turn-Based;Indie,0.0,239.0,514.0,76.0,76.0,200000-500000,5.99
1811,blockland,250340.0,2013-12-16,1.0,Eric Hartman;Ben Garney;Anthony Rotondo,Step 1 Games LLC,windows;mac,0.0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards,Action;Indie;Simulation,Sandbox;Building;Multiplayer,11.0,3706.0,1444.0,625.0,1054.0,200000-500000,7.19
1813,darkesthouraheartsofirongame,73170.0,2011-04-08,1.0,Martin Ivanov,Paradox Interactive,windows,0.0,Single-player;Multi-player,Strategy,Strategy;Grand Strategy;World War II,0.0,1075.0,144.0,0.0,0.0,100000-200000,7.99
1815,disciplesiiireincarnation,10270.0,2014-02-14,1.0,Akella,Kalypso Media Digital,windows,0.0,Single-player;Multi-player,RPG;Strategy,RPG;Turn-Based Strategy;Strategy,0.0,618.0,252.0,889.0,889.0,50000-100000,9.99
1816,ednaharveythebreakout,255320.0,2013-10-25,1.0,Daedalic Entertainment,Daedalic Entertainment,windows,0.0,Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,Adventure;Indie,Point & Click;Adventure;Indie,18.0,767.0,162.0,186.0,221.0,200000-500000,11.99
1817,hacknslash,246070.0,2014-09-09,1.0,Double Fine Productions,Double Fine Productions,windows;mac;linux,0.0,Single-player;Full controller support;Steam Workshop;Steam Cloud,Adventure;Casual;Indie,Adventure;Indie;Hacking,0.0,412.0,348.0,46.0,46.0,200000-500000,9.99
1819,imperiumromanumgoldedition,23400.0,2008-11-25,1.0,Haemimont Games,Kalypso Media Digital,windows,0.0,Single-player,Simulation;Strategy,Strategy;Simulation;City Builder,0.0,191.0,45.0,102.0,102.0,100000-200000,7.99
1820,medievalengineers,333950.0,2015-02-19,1.0,Keen Software House,Keen Software House,windows,0.0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Workshop;Partial Controller Support,Action;Indie;Simulation;Strategy;Early Access,Early Access;Building;Medieval,0.0,3233.0,1376.0,11517.0,11438.0,200000-500000,12.99
1821,pressured,292620.0,2014-07-18,1.0,Paul Marrable,KISS ltd,windows,0.0,Single-player;Steam Trading Cards,Indie,Indie;Puzzle;Casual,0.0,264.0,257.0,189.0,203.0,200000-500000,1.99
1822,sniperghostwarrior2,34870.0,2013-03-11,1.0,City Interactive,CI Games,windows,18.0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Leaderboards,Action,Sniper;Action;FPS,38.0,6775.0,2724.0,234.0,228.0,1000000-2000000,6.99
1824,supersanctumtd,235250.0,2013-05-09,1.0,Coffee Stain Studios,Coffee Stain Publishing,windows;mac,0.0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual;Indie;Strategy,Tower Defense;Strategy;Indie,27.0,1271.0,169.0,121.0,143.0,100000-200000,3.99
1825,thejourneydownchapterone,220090.0,2013-01-09,1.0,SkyGoblin,SkyGoblin,windows;mac;linux,0.0,Single-player;Steam Trading Cards,Adventure;Indie,Adventure;Point & Click;Indie,0.0,902.0,129.0,303.0,327.0,200000-500000,5.99
1827,twoworldsiicastledefense,7530.0,2011-06-14,1.0,Reality Pump Studios,Topware Interactive,windows;mac,0.0,Single-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Tower Defense;Fantasy,0.0,153.0,194.0,320.0,330.0,200000-500000,6.99
1828,typerider,258890.0,2013-11-06,1.0,Ex Nihilo,Plug In Digital,windows;mac;linux,0.0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie,Indie;Platformer;Casual,12.0,1123.0,281.0,0.0,0.0,100000-200000,3.99
1829,urbantrialfreestyle,243450.0,2013-09-18,1.0,Tate Multimedia,Tate Multimedia,windows,0.0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Racing;Simulation;Sports,Racing;Action;Simulation,12.0,1191.0,272.0,166.0,198.0,100000-200000,4.99
1830,wrc4fiaworldrallychampionship,256330.0,2013-10-25,1.0,Milestone S.r.l.,Plug In Digital;Bigben Interactive,windows,0.0,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud,Racing,Racing;Simulation;Offroad,50.0,557.0,315.0,0.0,0.0,50000-100000,24.99
1832,brickforce,335330.0,2014-12-11,1.0,Exe Games Inc.,Infernum Games GmbH,windows,0.0,Multi-player;Steam Trading Cards;Includes level editor,Action;Free to Play,Free to Play;Multiplayer;FPS,0.0,1702.0,2664.0,41.0,30.0,500000-1000000,0.0
1834,forkparkersholidayprofithike,339120.0,2014-12-18,1.0,Dodge Roll,Devolver Digital,windows;mac,0.0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Free to Play;Indie,Free to Play;Platformer;Action,17.0,510.0,107.0,14.0,14.0,200000-500000,0.0
1835,karos,337410.0,2014-12-24,0.0,Galaxy Gate,NIKITA ONLINE,windows,0.0,Multi-player;MMO;Commentary available,Free to Play;Massively Multiplayer;RPG,Free to Play;RPG;Massively Multiplayer,0.0,183.0,154.0,1.0,1.0,200000-500000,0.0
