,name,og_name,appid,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
659,oriandtheblindforest,Ori and the Blind Forest,,,,,,,,,,,,,,,,,
660,pinballfx2,Pinball FX2,,,,,,,,,,,,,,,,,
661,pixelpiracy,Pixel Piracy,,,,,,,,,,,,,,,,,
662,raymanlegends,Rayman Legends,,,,,,,,,,,,,,,,,
663,rocksmith2014,Rocksmith 2014,,,,,,,,,,,,,,,,,
671,spintires,Spintires,,,,,,,,,,,,,,,,,
672,stealthinc2,Stealth Inc 2,,,,,,,,,,,,,,,,,
673,teslaeffect,Tesla Effect,,,,,,,,,,,,,,,,,
677,tickettorideeurope,Ticket to Ride - Europe,,,,,,,,,,,,,,,,,
678,tickettorideusa1910,Ticket to Ride - USA 1910,,,,,,,,,,,,,,,,,
684,3dmark,3DMark,,,,,,,,,,,,,,,,,
685,3dmarkapioverheadfeaturetest,3DMark API Overhead feature test,,,,,,,,,,,,,,,,,
686,3dmarkcloudgatebenchmark,3DMark Cloud Gate benchmark,,,,,,,,,,,,,,,,,
687,3dmarkfirestrikebenchmark,3DMark Fire Strike benchmark,,,,,,,,,,,,,,,,,
688,3dmarkicestormbenchmark,3DMark Ice Storm benchmark,,,,,,,,,,,,,,,,,
689,3dmarkskydiverbenchmark,3DMark Sky Diver benchmark,,,,,,,,,,,,,,,,,
691,arma3zeus,Arma 3 Zeus,,,,,,,,,,,,,,,,,
692,badrats,Bad Rats,,,,,,,,,,,,,,,,,
693,battlefieldbadcompany2vietnam,Battlefield Bad Company 2 Vietnam,,,,,,,,,,,,,,,,,
694,coh2thewesternfrontarmiesoberkommandowest,COH2 - The Western Front Armies Oberkommando West,,,,,,,,,,,,,,,,,
695,coh2thewesternfrontarmiesusforces,COH2 - The Western Front Armies US Forces,,,,,,,,,,,,,,,,,
698,planetaryannihilation,Planetary Annihilation,,,,,,,,,,,,,,,,,
700,plantsvszombiesgameoftheyear,Plants vs. Zombies Game of the Year,,,,,,,,,,,,,,,,,
702,starwarsbattlefrontii,Star Wars - Battlefront II,,,,,,,,,,,,,,,,,
706,worldinconflict,World in Conflict,,,,,,,,,,,,,,,,,
707,worldinconflictsovietassault,World in Conflict Soviet Assault,,,,,,,,,,,,,,,,,
712,heroacademy,Hero Academy,,,,,,,,,,,,,,,,,
714,nosgoth,Nosgoth,,,,,,,,,,,,,,,,,
723,doom3resurrectionofevil,DOOM 3 Resurrection of Evil,,,,,,,,,,,,,,,,,
724,dontstarvereignofgiants,Don't Starve Reign of Giants,,,,,,,,,,,,,,,,,
725,droplitz,Droplitz,,,,,,,,,,,,,,,,,
726,dukenukem3dmegatonedition,Duke Nukem 3D Megaton Edition,,,,,,,,,,,,,,,,,
728,fearextractionpoint,F.E.A.R. Extraction Point,,,,,,,,,,,,,,,,,
729,fearperseusmandate,F.E.A.R. Perseus Mandate,,,,,,,,,,,,,,,,,
733,grid,GRID,,,,,,,,,,,,,,,,,
734,ghostbustersthevideogame,Ghostbusters The Video Game,,,,,,,,,,,,,,,,,
741,insaniquariumdeluxe,Insaniquarium! Deluxe,,,,,,,,,,,,,,,,,
745,nextcargamesneakpeek20,Next Car Game Sneak Peek 2.0,,,,,,,,,,,,,,,,,
746,nextcargamewreckfest,Next Car Game Wreckfest,,,,,,,,,,,,,,,,,
749,pokernight2,Poker Night 2,,,,,,,,,,,,,,,,,
754,redfactionarmageddonsoundtrack,Red Faction Armageddon Soundtrack,,,,,,,,,,,,,,,,,
759,segagenesismegadriveclassics,SEGA Genesis & Mega Drive Classics,,,,,,,,,,,,,,,,,
762,spelunky,Spelunky,,,,,,,,,,,,,,,,,
772,theultimatedoom,The Ultimate DOOM,,,,,,,,,,,,,,,,,
775,zombiesmonstersrobots,Zombies Monsters Robots,,,,,,,,,,,,,,,,,
776,deadislandepidemic,Dead Island Epidemic,,,,,,,,,,,,,,,,,
778,hawken,HAWKEN,,,,,,,,,,,,,,,,,
779,marvelheroes2015,Marvel Heroes 2015,,,,,,,,,,,,,,,,,
781,sin,SiN,,,,,,,,,,,,,,,,,
783,sinmultiplayer,SiN Multiplayer,,,,,,,,,,,,,,,,,
794,blacklightretribution,Blacklight Retribution,,,,,,,,,,,,,,,,,
801,h1z1,H1Z1,,,,,,,,,,,,,,,,,
802,h1z1testserver,H1Z1 Test Server,,,,,,,,,,,,,,,,,
807,tera,TERA,,,,,,,,,,,,,,,,,
808,thewitcherenhancededition,The Witcher Enhanced Edition,,,,,,,,,,,,,,,,,
811,arma2britisharmedforces,Arma 2 British Armed Forces,,,,,,,,,,,,,,,,,
812,arma2dayzmod,Arma 2 DayZ Mod,,,,,,,,,,,,,,,,,
813,arma2privatemilitarycompany,Arma 2 Private Military Company,,,,,,,,,,,,,,,,,
814,arma3helicopters,Arma 3 Helicopters,,,,,,,,,,,,,,,,,
815,arma3karts,Arma 3 Karts,,,,,,,,,,,,,,,,,
816,arma3marksmen,Arma 3 Marksmen,,,,,,,,,,,,,,,,,
823,codenamegordon,Codename Gordon,,,,,,,,,,,,,,,,,
825,fallout2,Fallout 2,,,,,,,,,,,,,,,,,
826,fallouttactics,Fallout Tactics,,,,,,,,,,,,,,,,,
828,dungeonsiegeiii,Dungeon Siege III,,,,,,,,,,,,,,,,,
831,aion,Aion,,,,,,,,,,,,,,,,,
832,dcsworld,DCS World,,,,,,,,,,,,,,,,,
834,il2sturmovikcliffsofdover,IL-2 Sturmovik Cliffs of Dover,,,,,,,,,,,,,,,,,
835,neotokyo,NEOTOKYO,,,,,,,,,,,,,,,,,
840,tomclancysghostreconphantomsna,Tom Clancy's Ghost Recon Phantoms - NA,,,,,,,,,,,,,,,,,
847,godus,Godus,,,,,,,,,,,,,,,,,
855,borderlands2headhunter1bloodyharvest,Borderlands 2 Headhunter 1 Bloody Harvest,,,,,,,,,,,,,,,,,
856,borderlands2headhunter2wattlegobbler,Borderlands 2 Headhunter 2 Wattle Gobbler,,,,,,,,,,,,,,,,,
857,borderlands2headhunter3mercenaryday,Borderlands 2 Headhunter 3 Mercenary Day,,,,,,,,,,,,,,,,,
858,borderlands2headhunter4weddingdaymassacre,Borderlands 2 Headhunter 4 Wedding Day Massacre,,,,,,,,,,,,,,,,,
860,deadislandriptide,Dead Island Riptide,,,,,,,,,,,,,,,,,
863,batmanarkhamasylum,Batman Arkham Asylum,,,,,,,,,,,,,,,,,
865,batmanarkhamoriginsonlinesupplydrop1,Batman Arkham Origins -  Online Supply Drop 1,,,,,,,,,,,,,,,,,
866,batmanarkhamoriginsinfiniteearthsskinspack,Batman Arkham Origins - Infinite Earths Skins Pack,,,,,,,,,,,,,,,,,
867,batmanarkhamoriginsinitiation,Batman Arkham Origins - Initiation,,,,,,,,,,,,,,,,,
868,batmanarkhamoriginsnewmillenniumskinspack,Batman Arkham Origins - New Millennium Skins Pack,,,,,,,,,,,,,,,,,
869,batmanarkhamoriginsonlinesupplydrop2,Batman Arkham Origins - Online Supply Drop 2,,,,,,,,,,,,,,,,,
874,crysis2,Crysis 2,,,,,,,,,,,,,,,,,
875,dirt2,DiRT 2,,,,,,,,,,,,,,,,,
879,eurotrucksimulator2goingeast,Euro Truck Simulator 2 - Going East!,,,,,,,,,,,,,,,,,
880,eurotrucksimulator2icecoldpaintjobspack,Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack,,,,,,,,,,,,,,,,,
881,f12010,F1 2010,,,,,,,,,,,,,,,,,
883,gtpowerexpansion,GT Power Expansion,,,,,,,,,,,,,,,,,
884,gtrevolution,GTR Evolution,,,,,,,,,,,,,,,,,
890,kanelynchdeadmen,Kane & Lynch Dead Men,,,,,,,,,,,,,,,,,
