zpid,street,zipcode,city,state,latitude,longitude,FIPScounty,propertyType,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,lastSoldDate,lastSoldPrice,zestimatePrice
51631895,33 Langford,92602,Irvine,CA,33.743434,-117.768936,6059,SingleFamily,2000,5487,3200,2.5,4,08/14/2009,910000,1251273
,,,,,,,,,,,,,,,,
51631917,38 Kentworth,92602,Irvine,CA,33.742993,-117.767693,6059,SingleFamily,2000,4689,2441,2.5,4,08/14/2003,703000,1054819
25521158,74 Linhaven,92602,Irvine,CA,33.742702,-117.771912,6059,SingleFamily,1999,7013,2500,3.0,4,04/29/2013,810000,981816
,,,,,,,,,,,,,,,,
25521225,91 Linhaven,92602,Irvine,CA,33.742189,-117.770609,6059,SingleFamily,1999,4284,2450,3.0,4,05/20/2005,865000,1046808
,,,,,,,,,,,,,,,,
25521178,26 Carriage Dr,92602,Irvine,CA,33.741819,-117.772312,6059,SingleFamily,1998,4376,2480,2.5,3,,,985775
,,,,,,,,,,,,,,,,
25521187,9 Robins Tree Ln,92602,Irvine,CA,33.741359,-117.771649,6059,SingleFamily,1999,4157,2015,2.5,4,03/21/2008,700000,932321
25521219,15 Brookhollow,92602,Irvine,CA,33.741311,-117.770912,6059,SingleFamily,1999,2948,1651,2.5,3,10/28/2002,426000,809586
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25521094,29 Elizabeth Ln,92602,Irvine,CA,33.740488,-117.773979,6059,SingleFamily,1998,7559,2569,2.5,3,03/26/1999,387500,1077889
25521107,38 Elizabeth Ln,92602,Irvine,CA,33.740206,-117.772996,6059,SingleFamily,1999,5662,2600,3.0,4,10/07/2011,705000,978897
25521433,79 Briar Ln,92602,Irvine,CA,33.740029,-117.77097,6059,SingleFamily,1999,4850,3105,4.0,4,08/12/1999,455000,1408359
25521415,72 Briar Ln,92602,Irvine,CA,33.739968,-117.771426,6059,SingleFamily,1999,4791,3105,3.0,4,08/11/2005,957000,1229003
25521398,26 Amoret Dr,92602,Irvine,CA,33.73934,-117.769398,6059,SingleFamily,1999,3057,1700,3.0,3,11/02/2018,835000,843678
25521333,11 Winterfield Rd,92602,Irvine,CA,33.739282,-117.770915,6059,SingleFamily,1998,3060,1892,2.5,3,03/15/2000,369500,845501
,,,,,,,,,,,,,,,,
51631866,50 Millgrove,92602,Irvine,CA,33.746387,-117.768225,6059,SingleFamily,2000,8921,2700,3.0,4,01/19/2017,1110000,1220711
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
54979259,71 Ardmore,92602,Irvine,CA,33.744208,-117.769975,6059,Condominium,1999,,1640,2.5,3,05/17/2006,674000,771420
51631945,16 Kirkland,92602,Irvine,CA,33.743942,-117.767887,6059,SingleFamily,2000,43560,2750,2.5,4,10/18/2002,585000,1355523
,,,,,,,,,,,,,,,,
54979292,1 Bellevue,92602,Irvine,CA,33.744436,-117.769375,6059,Condominium,1999,,1277,2.0,2,06/22/2000,229000,582934
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
51631918,8 Appleton,92602,Irvine,CA,33.742763,-117.767607,6059,SingleFamily,1999,7000,2691,2.5,4,11/20/2001,558000,1163368
25521154,82 Linhaven,92602,Irvine,CA,33.742333,-117.77149,6059,SingleFamily,1999,3465,2246,2.5,3,07/29/1999,350500,948049
51631905,14 Easthaven,92602,Irvine,CA,33.742317,-117.768442,6059,SingleFamily,2000,4749,3176,2.5,4,09/02/2008,875000,1241281
,,,,,,,,,,,,,,,,
25521215,23 Brookhollow,92602,Irvine,CA,33.741701,-117.770526,6059,SingleFamily,1999,3557,1908,3.0,4,03/25/2009,615000,821178
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25521239,18 Brookhollow,92602,Irvine,CA,33.741211,-117.77053,6059,SingleFamily,1999,3235,1900,3.0,4,05/10/2010,672500,852980
25521176,12 Hidden Brk,92602,Irvine,CA,33.741178,-117.772008,6059,SingleFamily,2002,4181,2325,3.0,4,02/27/2015,860000,988880
,,,,,,,,,,,,,,,,
